,આ,ઇ,ઈ,ઉ,ઊ,એ,ઐ,ઓ,ઔ,અં,અઃ,અૃ,અ્ર,્રઅ
ક,કા,કિ,કી,કુ,કૂ,કે,કૈ,કો,કૌ,કં,કઃ,કઅૃ,કઅ્ર,્રઅક
ખ,ખા,ખિ,ખી,ખુ,ખૂ,ખે,ખૈ,ખો,ખૌ,ખં,ખઃ,ખઅૃ,ખઅ્ર,્રઅખ
ગ,ગા,ગિ,ગી,ગુ,ગૂ,ગે,ગૈ,ગો,ગૌ,ગં,ગઃ,ગઅૃ,ગઅ્ર,્રઅગ
ઘ,ઘા,ઘિ,ઘી,ઘુ,ઘૂ,ઘે,ઘૈ,ઘો,ઘૌ,ઘં,ઘઃ,ઘઅૃ,ઘઅ્ર,્રઅઘ
ચ,ચા,ચિ,ચી,ચુ,ચૂ,ચે,ચૈ,ચો,ચૌ,ચં,ચઃ,ચઅૃ,ચઅ્ર,્રઅચ
છ,છા,છિ,છી,છુ,છૂ,છે,છૈ,છો,છૌ,છં,છઃ,છઅૃ,છઅ્ર,્રઅછ
જ,જા,જિ,જી,જુ,જૂ,જે,જૈ,જો,જૌ,જં,જઃ,જઅૃ,જઅ્ર,્રઅજ
ઝ,ઝા,ઝિ,ઝી,ઝુ,ઝૂ,ઝે,ઝૈ,ઝો,ઝૌ,ઝં,ઝઃ,ઝઅૃ,ઝઅ્ર,્રઅઝ
ટ,ટા,ટિ,ટી,ટુ,ટૂ,ટે,ટૈ,ટો,ટૌ,ટં,ટઃ,ટઅૃ,ટઅ્ર,્રઅટ
ઠ,ઠા,ઠિ,ઠી,ઠુ,ઠૂ,ઠે,ઠૈ,ઠો,ઠૌ,ઠં,ઠઃ,ઠઅૃ,ઠઅ્ર,્રઅઠ
ડ,ડા,ડિ,ડી,ડુ,ડૂ,ડે,ડૈ,ડો,ડૌ,ડં,ડઃ,ડઅૃ,ડઅ્ર,્રઅડ
ઢ,ઢા,ઢિ,ઢી,ઢુ,ઢૂ,ઢે,ઢૈ,ઢો,ઢૌ,ઢં,ઢઃ,ઢઅૃ,ઢઅ્ર,્રઅઢ
ણ,ણા,ણિ,ણી,ણુ,ણૂ,ણે,ણૈ,ણો,ણૌ,ણં,ણઃ,ણઅૃ,ણઅ્ર,્રઅણ
ત,તા,તિ,તી,તુ,તૂ,તે,તૈ,તો,તૌ,તં,તઃ,તઅૃ,તઅ્ર,્રઅત
થ,થા,થિ,થી,થુ,થૂ,થે,થૈ,થો,થૌ,થં,થઃ,થઅૃ,થઅ્ર,્રઅથ
દ,દા,દિ,દી,દુ,દૂ,દે,દૈ,દો,દૌ,દં,દઃ,દઅૃ,દઅ્ર,્રઅદ
ધ,ધા,ધિ,ધી,ધુ,ધૂ,ધે,ધૈ,ધો,ધૌ,ધં,ધઃ,ધઅૃ,ધઅ્ર,્રઅધ
ન,ના,નિ,ની,નુ,નૂ,ને,નૈ,નો,નૌ,નં,નઃ,નઅૃ,નઅ્ર,્રઅન
પ,પા,પિ,પી,પુ,પૂ,પે,પૈ,પો,પૌ,પં,પઃ,પઅૃ,પઅ્ર,્રઅપ
ફ,ફા,ફિ,ફી,ફુ,ફૂ,ફે,ફૈ,ફો,ફૌ,ફં,ફઃ,ફઅૃ,ફઅ્ર,્રઅફ
બ,બા,બિ,બી,બુ,બૂ,બે,બૈ,બો,બૌ,બં,બઃ,બઅૃ,બઅ્ર,્રઅબ
ભ,ભા,ભિ,ભી,ભુ,ભૂ,ભે,ભૈ,ભો,ભૌ,ભં,ભઃ,ભઅૃ,ભઅ્ર,્રઅભ
મ,મા,મિ,મી,મુ,મૂ,મે,મૈ,મો,મૌ,મં,મઃ,મઅૃ,મઅ્ર,્રઅમ
ય,યા,યિ,યી,યુ,યૂ,યે,યૈ,યો,યૌ,યં,યઃ,યઅૃ,યઅ્ર,્રઅય
ર,રા,રિ,રી,રુ,રૂ,રે,રૈ,રો,રૌ,રં,રઃ,રઅૃ,રઅ્ર,્રઅર
લ,લા,લિ,લી,લુ,લૂ,લે,લૈ,લો,લૌ,લં,લઃ,લઅૃ,લઅ્ર,્રઅલ
વ,વા,વિ,વી,વુ,વૂ,વે,વૈ,વો,વો,વં,વઃ,વઅૃ,વઅ્ર,્રઅવ
શ,શા,શિ,શી,શુ,શૂ,શે,શૈ,શો,શૌ,શં,શઃ,શઅૃ,શઅ્ર,્રઅશ
ષ,ષા,ષિ,ષી,ષુ,ષૂ,ષે,ષૈ,ષો,ષૌ,ષં,ષઃ,ષઅૃ,ષઅ્ર,્રઅષ
સ,સા,સિ,સી,સુ,સૂ,સે,સૈ,સો,સૌ,સં,સઃ,સઅૃ,સઅ્ર,્રઅસ
હ,હા,હિ,હી,હુ,હૂ,હે,હૈ,હો,હૌ,હં,હઃ,હઅૃ,હઅ્ર,્રઅહ
ળ,ળા,ળિ,ળી,ળુ,ળૂ,ળે,ળૈ,ળો,ળૌ,ળં,ળઃ,ળઅૃ,ળઅ્ર,્રઅળ
ક્ષ,ક્ષા,ક્ષિ,ક્ષી,ક્ષુ,ક્ષૂ,ક્ષે,ક્ષૈ,ક્ષો,ક્ષૌ,ક્ષં,ક્ષઃ,ક્ષઅૃ,ક્ષઅ્ર,્રઅક્ષ
જ્ઞ,જ્ઞા,જ્ઞા,જ્ઞી,જ્ઞુ,જ્ઞૂ,જ્ઞે,જ્ઞૈ,જ્ઞો,જ્ઞૌ,જ્ઞં,જ્ઞઃ,જ્ઞઅૃ,જ્ઞઅ્ર,્રઅજ્ઞ
